ID,Titulo,Autoria,Localizacao,Freguesia,Data,Tipologia,pic_url,LON,LAT,Descricao
55,Sem título,Klit,Troço IC17/Cril,Falagueira-Venda Nova,2010,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id55.jpg,"-9,210912779","38,75127363","Klit (2010). Mural realizado no âmbito do Concurso de Pintura de Murais sobre Banda Desenhada, promovido pelas Estradas de Portugal e em parceria com a Câmara Municipal da Amadora."
56,Sem título,Obey,Troço IC17/Cril,Encosta do Sol,2010,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id56.jpg,"-9,206914551","38,75932695","Obey (2010). Mural realizado no âmbito do Concurso de Pintura de Murais sobre Banda Desenhada, promovido pelas Estradas de Portugal e em parceria com a Câmara Municipal da Amadora."
57,Sem título,Nark,Troço IC17/Cril,Encosta do Sol,2010,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id57.jpg,"-9,201828325","38,75945567","Nark (2010). Mural realizado no âmbito do Concurso de Pintura de Murais sobre Banda Desenhada, promovido pelas Estradas de Portugal e em parceria com a Câmara Municipal da Amadora."
58,Sem título,Utopia,Troço IC17/Cril,Encosta do Sol,2010,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id58.jpg,"-9,201674756","38,75951153","Utopia (2010). Peça realizada no âmbito do Concurso de Pintura de Murais sobre Banda Desenhada, promovido pelas Estradas de Portugal e em parceria com a Câmara Municipal da Amadora."
59,Sem título,GVS Crew,Troço IC17/Cril,Encosta do Sol,2010,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id59.jpg,"-9,202026886","38,75938346","GVS Crew (2010). Mural realizado no âmbito do Concurso de Pintura de Murais sobre Banda Desenhada, promovido pelas Estradas de Portugal e em parceria com a Câmara Municipal da Amadora."
60,Sem título,Ble,Troço IC17/Cril,Encosta do Sol,2010,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id60.jpg,"-9,202295171","38,75944358","Ble (2010). Mural realizado no âmbito do Concurso de Pintura de Murais sobre Banda Desenhada, promovido pelas Estradas de Portugal e em parceria com a Câmara Municipal da Amadora."
61,Sem título,David Simões,Troço IC17/Cril,Encosta do Sol,2010,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id61.jpg,"-9,202143673","38,75949867","David Simões (2010). Mural realizado no âmbito do Concurso de Pintura de Murais sobre Banda Desenhada, promovido pelas Estradas de Portugal e em parceria com a Câmara Municipal da Amadora. "
62,Sem título,Nark,Troço IC17/Cril,Encosta do Sol,2010,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id62.jpg,"-9,201912421","38,75958278","Nark (2010). Mural realizado no âmbito do Concurso de Pintura de Murais sobre Banda Desenhada, promovido pelas Estradas de Portugal e em parceria com a Câmara Municipal da Amadora."
63,Sem título,Slap,Troço IC17/Cril,Encosta do Sol,2010,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id63.jpg,"-9,201542995","38,75955945","Slap (2010). Mural realizado no âmbito do Concurso de Pintura de Murais sobre Banda Desenhada, promovido pelas Estradas de Portugal e em parceria com a Câmara Municipal da Amadora."
64,Sem título,Vile,Troço IC17/Cril,Encosta do Sol,2010,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id64.jpg,"-9,207255017","38,75937618","Vile (2010). Mural realizado no âmbito do Concurso de Pintura de Murais sobre Banda Desenhada, promovido pelas Estradas de Portugal e em parceria com a Câmara Municipal da Amadora."
65,Amália Rodrigues,Odeith,Rua Dr. Francisco Sousa Tavares,Águas Livres,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id65.jpg,"-9,215961809","38,74117288","Odeith (2014). Mural de tributo a Amália Rodrigues, localizado na Rua Dr. Francisco Sousa Tavares, na Damaia."
66,In Memory of H.R. Giger,Odeith,Rua do Liceu,Águas Livres,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id66.jpg,"-9,215050118","38,74130432","Odeith (2014). Mural de tributo a H. R. Giger, localizado nas traseiras da Escola Secundária D. João V, na Damaia."
67,Sem título,Miguel Brum ,Estaleiros Municipais da CMA. Estrada da Serra da Mira,Mina de Água,2015,Viatura,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id67.jpg,"-9,232543432","38,77417744",Miguel Brum (2015). Mural realizado no âmbito das comemorações do 25 de Abril e que tem como suporte um camião do lixo. Este veículo desloca-se periodicamente pela cidade a fim de realizar a recolha de resíduos.
68,O virar da página,Glam,Avenida Conde Castro Guimarães,Venteira,2015,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id68.jpg,"-9,233874295","38,75241549",Glam (2015). Mural realizado no âmbito das comemorações do 25 de Abril
69,Sem título,Creyz / Esc. Prof. Gustavo Eiffel,Rua João de Deus,Falagueira-Venda Nova,2015,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id69.jpg,"-9,219664159","38,75546656","Creyz / Esc. Prof. Gustavo Eiffel (2015). Mural realizado no âmbito da 1.ª edição do Projecto """"Conversas na Rua"""", inserido no workshop """"Pinta na Rua"""", que contou com a colaboração de 8 alunos da Escola Profissional Gustave Eiffel"
70,Sem título ,VFM/GVS,Rua Moinho da Galega,Mina de Água,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id70.jpg,"-9,22737962","38,76699385",VFM/GVS (2014). Mural de graffiti da autoria das crews VFM e GVS.
71,Sem título ,Rote/Eko/Dzer/MLK ,Rua Moinho da Galega,Mina de Água,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id71.jpg,"-9,227475542","38,76697345","Rote/Eko/Dzer/MLK (2014). Mural de graffiti da autoria dos artistas Rote, Dzer, Eko e da crew MLK"
72,Sem título ,Eko/MDK/FMK ,Rua Moinho da Galega,Mina de Água,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id72.jpg,"-9,227583009","38,7669496",Eko/MDK/FMK (2014). Mural de graffiti da autoria do artista Eko e das crews MDK e FMK
73,Carlos Paredes,Odeith,Empena do prédio N.º 16 da R. António Duarte Caneças,Falagueira-Venda Nova,2015,Empena,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id73.jpg,"-9,220208276","38,75815282",Odeith (2015). Mural com a representação de Carlos Paredes e a sua inseparável guitarra portuguesa
74,Sem título,"APAURB (artistas:Slap, Uber, Kurtz, Ephan e Dome)",Rua Capitão Plácido de Abreu,Venteira,2015,Empena,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id74.jpg,"-9,234089404","38,75707698",APAURB - Associação Portuguesa de Arte Urbana (2015). A intervenção no edifício do Centro de Saúde da Amadora insere-se no programa de requalificação urbana promovido pela Câmara Municipal da Amadora e consistiu na aplicação de uma imagem construída a partir do cartaz da autoria de Ricardo Cabral para a edição de 2014 do Festival Internacional de Banda Desenhada da Amadora - Amadora BD.
75,Sem título,Ana Dias e Elsa Pedrosa ,Caminho da Fonte,Venteira,2015,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id75.jpg,"-9,242546803","38,75768665","Ana Dias e Elsa Pedrosa (2015). Mural inspirado na obra do ilustrador português Roque Gameiro e do artista plástico Bordallo Pinheiro. Esta intervenção resultou do workshop """"Pinta na Rua"""" no âmbito da primeira edição do projeto """"Conversas na Rua""""."
76,Sem título,NADA e Damn One ,Rua Manuel Ribeiro de Pavia,Falagueira-Venda Nova,2015,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id76.jpg,"-9,217921777","38,7562011","NADA e Damn One (2015). Mural realizado no âmbito da primeira edição do projeto """"Conversas na Rua"""" subentendido às temáticas da multiculturalidade e da interculturalidade."
